ArrayID	Name	BitVector
HAS3	HAS3: HAS3	01110211001102100110200000121111000100000212001222221110022211210120201122201000120022211011212100001000202011010212102020100010022110
EFTUD1	EFTUD1: EFTUD1	11211211112102111012201110111212111110111112001122111211220222221110221111221111120121112111211110010110111111111211102020110012121111
COPS7A	COPS7A: COPS7A	01111111111111112201111111111110111111112111111111111111110111111112111111111111011111112111110121111111111111111121111111111111111111
OR13G1	OR13G1: OR13G1	00000200000000000000121000022000000000000200100000000010000020000000001020201001000002000000000101000100000020000000002010000001000022
KCTD19	KCTD19: KCTD19	22022222221021220020021222011112220122220220212100102000010221112012101202012112202201010220112222122102210221112202022222202000102222
LOC729668	LOC729668: LOC729668	01101000100000210010022101000020021022100001210000002001102010100020002200001100202102022200001002212000002122012002100001020021012011
SDHAF2	SDHAF2: SDHAF2	11111001101111101201111000000102111010002001001111111101101111121001110001120101011110202110120000101111000110211020102000110120100001
APC2	APC2: APC2	22101102121120210110121110111211210202121211211020211010022120101211110102101011201011020111011112111111201100012102011112210212012122
PHF23	PHF23: PHF23	01111111201101111212101100111102111111012111012111111111110211121101111011120111021111212121212121112111111110211120102110111121110101
MOGAT1	MOGAT1: MOGAT1	02202102102002000001000000112220000200010102010020020020110020210100100022120120010000001100001020000101110000200200002000020221110100
CDIPT	CDIPT: CDIPT	11111111201010111202111110010111111011112102111011111111111111121102111101111111111111112111120121111112010200111111012111111111101111
ZNF692	ZNF692: ZNF692	02121111211100102201101100011102111111002010112110001111110111011112110102120101001101112121110101112112201210111111002110111011111101
C7orf42	C7orf42: C7orf42	01111111111111111111111110111111111111111111111112111111111111111111111111121111111111112111111111111111010111111111111111111111111111
CTSL1	CTSL1: CTSL1	00010021100020112011121111000010002021111001120101211011002011111112011110011020102101111012112022211002010120121020011202112210101012
FLJ20518	FLJ20518: FLJ20518	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000
BCL7A	BCL7A: BCL7A	21101111121112110011111012111110221111021212101012112100121111112100111101101112110111010211111100011110111112111101101010200011111110
PAQR5	PAQR5: PAQR5	02200202212202100202200001222201210201102212002122101100220222220000220112221212021022202020222000010220200010200200202020100022020000
ESRRA	ESRRA: ESRRA	02112202202202000202201100211201211100002202002122101210220222220100220112220101120011202120220100001120101101211210202010110021110110
RAB11FIP2	RAB11FIP2: RAB11FIP2	20111110021121122020021122112021112112220120220111111111012111101121012110002121201121010201001122220111121122011102120112112101122221
RAD51B	RAD51B: RAD51B	22222222222222222022222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222
AMELX	AMELX: AMELX	00000000000120002200020200000000000000010001000000000000100001000002000000000000001100000001010020000100100000000011000000000000000011
ADH1A	ADH1A: ADH1A	02222000120020222220022022212120012112221020200002220010002021102222020121002201202211020210112202020112121212022102020002020101212212
ANXA2P1	ANXA2P1: ANXA2P1	02222202222202212211201200222120211200110222001222210222220222210120221212212221220122021021222110000220202022120212201020201002122221
MYEOV2	MYEOV2: MYEOV2	01010001100110101202000000000102000020002000002010011101100001021002010011120100011100202010120000002111000210210020102000020120100000
REN	REN: REN	02100221002220000222100000222022202020020012000222210102112012210022222220210021020100222022220122011010002001200021202222122220000101
