ArrayID	Name	BitVector
SMAD3	205398_s_at	001101000101110110021100111010110101011110010011000101001100011001121222122122222220110121111011010010100100010110111001100100111101011001011100111111101011110000000000200001012110010100110001100100001010110001000001000101111110
PLEK2	218644_at	111111011111111211111110111110011111111111012111001111100111111101112222121221221210000000000000000001111111111111111121111211010111112101121111021111110111111112112222221121122222221222222222222221222111222211211222221211111121
CD163L1	223655_at	222222211211112121111112110021001101122222222121222222222221112212210200001000000000000000000000110011020001210000000000000122222220202212020222222202110212222100111110121101000000000000101100000201001101000000101010000000000000
GOLGA5	218241_at	222222222222222222222222222222122222222222222222222222222222222222222222222222222210210120020011020022222222222222122212111222222222222222222222222222222222222222222222222121222222222222222222222222222221222211211222222222222222
PIGT	1568986_x_at	101111111111111101111011101101111111000000000100000000011000110000000010111011010012222222212221212211101111010111221101110000000000000010000000100101100010000011010000011111100000000000000110000000000002000001000000100000000000
AUTS2	243365_s_at	111111200000000000101011100011100011100000000001000010000000010000000000000000000002221222112212212210000000000001000001000000000000000000000000000000001000000011001101110010100001000000001001000000000101000000100110100010000100
WDR37	211383_s_at	212222122222222222222222122222222222122222222222222222221222212222222222222222222220110011010011020012222222122221111222222222122112221212122222211222212122222111121121212111112211222111222110221222211111222110111112221211111111
CPA6	1552511_a_at	100000000101100000000101001212001002002112222111222220221212120222200002010110010111001001012001000101121111112101112211211121022122120202222222111121221212102200000000000000012011210120200110212112212021000010111020100000000000
NUDT4	206302_s_at	222222222222222222222222222222222222222222222222222222222222222222222222222222222220200120000010010022222222222222122221112222222222222222222222222222222222222222222222222222222222222222222222222222222222222220210222222222222222
LOC440900	243795_s_at	101001101000000000100011110100001101000000000000000100000000010000000000000000000002111111102212211200001011000100000001000000000000100000010000100000001010000000000000000000000010100000000111000001000101001010000000001100000000
LIPG	219181_at	000000000000110110110100001010000010011000100001000001000000000101002012111222110200000000000000000000101000100010111211101000100011121000001000021111000101111022222221122202122221122222222120222222222220222120200122222222222222
MRPL40	203152_at	111111101110111111111110011111011111211121111111111111111111111111100000010100110000000000011000010011110111111001111101001111211221211212221121111111121211222211111111111111122222222222222122222222222221122110111222221111111111
SRGN	201859_at	222222222222222222222222222122222222222222222222222222222222222222222222222222222220220101010021022022222222222012222020000222222222222222222222222222222222222222222222222222222222222222221222222222222222222000000221222221222112
RGS13	210258_at	101100102211111020212200201020002021222120102222212222210200202222102022002100001100000000010000021010121002222000222111200121212221212222222222122212020221202202000000002020200112100010212220022020200020022120200002220000000000
ZMPSTE24	202939_at	222222222222222222222222222222222222222222222222222222222222222222222222222222222220220221020021020022222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222221222222222222222222
LOC645676	1554057_at	000000000000000000100000110100100010000000100000000000000000000000121222122212221121100112101112211100000010000110111221222000000001111200122222111120011101012100010010000101011100001101100011010011100000101211111000002222222222
COL16A1	204345_at	100000000101110010111110111012221110000100011001111111110110001101101011110111111111211012221221122221111011111111211100100111100101110120101010000010101101101011112101011000001101011011012100111111110100121012010212120000000000
GYG2	215695_s_at	100000000000000000000010100001100010000010000000100000000000000000002112210221220111000002101001101100000000000000001221222010000002121111112222010021101100102001021101000000110110010000010010100000001000000201202011011222222221
TMEM120A	223482_at	212222121211222222222221212121221212222222122211222122211221212121121222122122222121220221220021020222021122211121012000000222122221212101221221212111221222222211111111201011110111101111111111111111110111011000000111110111010100
LOC100129550	229699_at	000000000101110010010100010011110011011111211111111211111121111111111121211121212120110101020010010010210100111101011211111011012002020211002222100121102011112000000000100000000111002000110100011111000010110210110012002222222222
ACE2	219962_at	012210001211222222222022122222222222210121222121000112200221211101122222212212222120120220020002020022212221201221001112102200112102222201112222122222102221222000000110000000202222010102210121222110202221121211110220000222211121
FSTL5	232010_at	000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000222200202
SF3A3	203818_s_at	110111111111211111111111121111111121012111111112111211111211111111101112111210111110100000020010020011111111111111212122122121212221212122221111122102121222211222121222122122122222222222212121222222222121222111110222221112121211
AKAP5	230846_at	110000000110000000111001010101100101100110110001110111110000100012102000000000000000000000000000000000101011000001011221221111000112121201102222011021002102112000000000000000001001010000111200002110211110200220220011110010100000
MGC29506	223565_at	222112211111111211112122101121111101221122122111222222222211122211200000100100100001100010112021111221120012221001111000000222221221222222221221222211122211222220200112121111112201021101210011111111100212221000000220100010011000
MRS2	218538_s_at	111121112222221222222222222222112222122222222121222222221222222212212112112212120200000000000000010002222221222221211212102121222222222222222222222222122222222222221222011111222222222222222222222222222221222211210222122222222222
RHCG	219554_at	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HOMER1	213793_s_at	000000000000010000110010010011101000101100000001000101010110100000111000111110101100111101121111011010000000000101211110111011211112121211112222111021022201112102022010020110012112002001211121101111111110221221111121112222211212
GNA13	206917_at	011221012022002222122202222221102222222222222221222222212222221222200000000000000000000100001100100002222222222221111000000000011100001000100000102101010011110011111020110110112011112111220112112112122122222000000000000000000000
MS4A4A	219607_s_at	022122112222222022222222110020001002222222222121222222222222222222201100211010200000000000000000010011120001220000000000000222222222212222222222122222221222222200110110110000001211102011210110121212211220121000000110200000000000
ODF1	214485_at	111111010101000000100011100000000000000001000110000100101000010000010010001010001012122122212222212211000111001000000111001000000000101010000000101000000010000011111111111211110000000000000000001000000001000112111000000000000000
BCKDHB	210653_s_at	011121111121112221122211222221112211122212222221111122111222112221211111011100100100000100000000010012222221212211011111010221221211112101221222112121112212222222211221111110122222222222222221222212222221222100100222222222222111
SMC4	201664_at	221221122222222222222222222222222222222222222222222222222222222222222222222222221220100001010010010012222222222221212222222222222222222222222222222222222222222222222222122222222222222222222222222222222222222221211222222222222222
NDUFS5	201757_at	111111112121222212211221111111112111221121212211111112221211111111201111111111110100110111020021011121111111211111112211012122211220212122220121222102210222222221121212122121222222222222221222212222221221222210111222220010000000
RBM26	218422_s_at	111010011211221111112110021112222121011111111011101101110110101111112112221212121110100001010000020011212022011020111111111010201112121211102222212122002111102011011110011001021110121111101110011121111010111211211222112222222222
CTGLF6	239151_at	211121122222222221112222101102011011111111211111111111121111202121201011000000011111112010100111201011111111111111211111111121012100000000000000110201211011000021222122112111112120112111111221110122011010111111111201221111100000
